"","Date/Time","Pedestrians","Towards_Manhattan","Towards_Brooklyn","Weather","Temp","Events"
"242","11/18/17 12:00",1910,871,1039,"clear-day",46,""
"243","12/23/17 7:00",39,13,26,"cloudy",39,""
"244","11/3/17 5:00",21,17,4,"partly-cloudy-night",61,""
"245","1/5/18 12:00",749,361,388,"clear-day",13,""
"246","10/30/17 19:00",409,178,231,"clear-night",52,""
"247","1/11/18 0:00",12,7,5,"partly-cloudy-night",36,""
"248","1/31/18 5:00",11,4,7,"clear-night",19,""
"249","11/23/17 3:00",5,3,2,"clear-night",32,"Thanksgiving Day"
"250","12/29/17 5:00",2,0,2,"partly-cloudy-night",11,""
"251","1/10/18 10:00",412,245,167,"clear-day",33,""
"252","12/18/17 0:00",42,16,26,"partly-cloudy-night",34,""
"253","1/22/18 0:00",9,4,5,"cloudy",44,""
"254","10/20/17 16:00",2213,1207,1006,"clear-day",73,""
"255","11/21/17 9:00",535,280,255,"clear-day",46,""
"256","11/3/17 22:00",114,60,54,"clear-night",55,""
"257","11/25/17 7:00",147,69,78,"clear-day",35,""
"258","1/12/18 4:00",3,2,1,"partly-cloudy-night",45,""
"259","1/18/18 11:00",541,277,264,"clear-day",27,""
"260","12/30/17 8:00",134,67,67,"partly-cloudy-day",18,""
"261","11/22/17 12:00",1043,514,529,"partly-cloudy-day",50,""
"262","10/30/17 2:00",10,2,8,"partly-cloudy-night",58,""
"263","12/19/17 23:00",150,121,29,"clear-night",48,""
"264","12/22/17 20:00",233,107,126,"partly-cloudy-night",43,""
"265","1/11/18 11:00",755,346,409,"partly-cloudy-day",43,""
"266","12/13/17 9:00",250,97,153,"partly-cloudy-day",22,""
"267","11/25/17 22:00",287,130,157,"partly-cloudy-night",49,""
"268","11/1/17 3:00",0,0,0,"clear-night",44,""
"269","11/8/17 1:00",4,3,1,"partly-cloudy-night",39,""
"270","12/8/17 8:00",295,98,197,"clear-day",33,""
"271","1/16/18 12:00",527,251,276,"partly-cloudy-day",33,""
"272","1/29/18 21:00",89,50,39,"partly-cloudy-night",39,""
"273","11/9/17 9:00",469,251,218,"partly-cloudy-day",43,""
"274","11/14/17 7:00",169,74,95,"clear-day",34,""
"275","12/21/17 10:00",752,417,335,"clear-day",35,""
"276","1/27/18 12:00",1821,885,936,"clear-day",46,""
"277","10/15/17 4:00",9,6,3,"partly-cloudy-night",65,""
"278","12/25/17 2:00",9,6,3,"cloudy",36,"Christmas Day"
"279","10/23/17 10:00",1224,684,540,"partly-cloudy-day",66,""
"280","11/26/17 10:00",1080,591,489,"partly-cloudy-day",45,""
"281","10/7/17 9:00",989,655,334,"partly-cloudy-day",68,""
"282","12/29/17 10:00",1020,622,398,"clear-day",15,""
"283","12/2/17 19:00",547,256,291,"clear-night",43,""
"284","11/20/17 22:00",86,48,38,"clear-night",41,""
"285","11/8/17 18:00",384,204,180,"partly-cloudy-night",46,""
"286","1/7/18 8:00",42,20,22,"clear-day",4,""
"287","11/30/17 18:00",480,305,175,"clear-night",46,""
"288","10/28/17 22:00",254,124,130,"partly-cloudy-night",61,""
"289","1/16/18 7:00",81,39,42,"cloudy",26,""
"290","11/4/17 13:00",3130,1525,1605,"clear-day",53,""
"291","10/8/17 6:00",41,24,17,"partly-cloudy-night",72,""
"292","11/15/17 15:00",1193,553,640,"partly-cloudy-day",48,""
"293","10/17/17 20:00",236,113,123,"clear-night",52,""
"294","11/19/17 20:00",255,107,148,"partly-cloudy-night",44,""
"295","12/12/17 18:00",420,297,123,"partly-cloudy-night",41,""
"296","11/7/17 10:00",1073,632,441,"clear-day",48,""
"297","10/8/17 17:00",2485,1241,1244,"clear-day",76,""
"298","12/16/17 11:00",1437,722,715,"partly-cloudy-day",32,""
"299","1/1/18 8:00",58,28,30,"clear-day",6,"New Year's Day"
"300","1/6/18 20:00",37,23,14,"clear-night",8,""
"301","11/11/17 17:00",1077,450,627,"clear-night",35,"Veterans Day"
"302","1/22/18 11:00",563,299,264,"partly-cloudy-day",45,""
"303","2/1/18 20:00",252,195,57,"partly-cloudy-night",40,""
"304","12/25/17 6:00",5,2,3,"partly-cloudy-night",34,"Christmas Day"
"305","1/10/18 8:00",181,48,133,"clear-day",25,""
"306","12/19/17 18:00",590,358,232,"clear-night",52,""
"307","1/12/18 19:00",77,51,26,"fog",57,""
"308","11/21/17 19:00",485,316,169,"clear-night",50,""
"309","11/16/17 23:00",63,46,17,"partly-cloudy-night",43,""
"310","1/24/18 3:00",1,0,1,"clear-night",40,""
"311","1/15/18 4:00",4,1,3,"partly-cloudy-night",17,"Martin Luther King Jr. Day"
"312","12/14/17 6:00",29,15,14,"partly-cloudy-night",25,""
"313","10/2/17 18:00",1659,1055,604,"clear-day",69,""
"314","2/2/18 9:00",205,98,107,"clear-day",27,""
"315","1/1/18 19:00",336,146,190,"clear-night",16,"New Year's Day"
"316","11/27/17 23:00",30,16,14,"clear-night",38,""
"317","12/5/17 16:00",696,335,361,"partly-cloudy-day",59,""
"318","11/2/17 14:00",2073,991,1082,"partly-cloudy-day",70,""
"319","11/30/17 1:00",10,4,6,"clear-night",39,""
"320","10/30/17 13:00",1914,960,954,"partly-cloudy-day",55,""
"321","12/24/17 4:00",0,0,0,"clear-night",38,"Christmas Eve"
"322","11/5/17 1:00",29,19,10,"partly-cloudy-night",52,"Daylight Saving Time ends"
"323","10/18/17 9:00",523,270,253,"clear-day",51,""
"324","10/2/17 0:00",60,20,40,"clear-night",53,""
"325","11/10/17 13:00",1113,522,591,"clear-day",35,"Veterans Day observed"
"326","11/6/17 21:00",100,51,49,"partly-cloudy-night",52,""
"327","11/13/17 14:00",936,394,542,"partly-cloudy-day",46,""
"328","10/13/17 0:00",47,29,18,"clear-night",55,""
"329","12/7/17 5:00",26,11,15,"clear-night",36,""
"330","12/23/17 18:00",184,60,124,"partly-cloudy-night",47,""
"331","12/20/17 15:00",1607,842,765,"clear-day",43,""
"332","12/8/17 18:00",433,210,223,"partly-cloudy-night",36,""
"333","12/8/17 13:00",1721,722,999,"clear-day",37,""
"334","12/20/17 1:00",19,15,4,"clear-night",49,""
"335","1/29/18 6:00",70,32,38,"clear-night",41,""
"336","11/26/17 15:00",1862,855,1007,"clear-day",45,""
"337","12/6/17 17:00",727,403,324,"clear-night",41,""
"338","11/27/17 18:00",580,364,216,"clear-night",46,""
"339","10/13/17 13:00",2016,983,1033,"partly-cloudy-day",63,""
"340","12/26/17 18:00",619,307,312,"clear-night",25,""
"341","12/11/17 20:00",329,236,93,"clear-night",35,""
"342","12/1/17 11:00",1425,604,821,"clear-day",50,""
"343","10/14/17 8:00",555,372,183,"partly-cloudy-day",62,""
"344","12/30/17 13:00",1577,822,755,"partly-cloudy-day",20,""
"345","10/24/17 13:00",1413,419,994,"partly-cloudy-day",71,""
"346","11/26/17 22:00",72,22,50,"clear-night",37,""
"347","1/13/18 20:00",97,36,61,"clear-night",23,""
"348","1/9/18 0:00",11,2,9,"cloudy",30,""
"349","12/26/17 3:00",0,0,0,"clear-night",26,""
"350","1/26/18 17:00",811,368,443,"clear-day",35,""
"351","12/3/17 17:00",1022,433,589,"partly-cloudy-night",46,""
"352","12/21/17 23:00",140,129,11,"partly-cloudy-night",34,""
"353","1/26/18 11:00",662,351,311,"clear-day",32,""
"354","10/19/17 4:00",3,2,1,"clear-night",55,""
"355","12/15/17 3:00",1,0,1,"clear-night",20,""
"356","12/29/17 0:00",9,4,5,"clear-night",11,""
"357","10/2/17 13:00",1753,898,855,"clear-day",68,""
"358","12/19/17 8:00",276,110,166,"partly-cloudy-day",45,""
"359","12/3/17 6:00",53,42,11,"partly-cloudy-night",40,""
"360","11/22/17 17:00",837,400,437,"partly-cloudy-night",44,""
"361","12/10/17 23:00",62,30,32,"partly-cloudy-night",35,""
"362","1/14/18 11:00",726,385,341,"clear-day",19,""
"363","1/9/18 5:00",5,3,2,"partly-cloudy-night",29,""
"364","11/21/17 4:00",5,3,2,"clear-night",40,""
"365","12/7/17 15:00",1599,759,840,"clear-day",44,""
"366","12/1/17 18:00",593,328,265,"clear-night",45,""
"367","10/2/17 1:00",27,15,12,"clear-night",52,""
"368","11/22/17 6:00",46,22,24,"partly-cloudy-night",49,""
"369","1/28/18 13:00",657,319,338,"partly-cloudy-day",47,""
"370","12/18/17 15:00",1843,851,992,"partly-cloudy-day",45,""
"371","10/28/17 3:00",3,0,3,"clear-night",49,""
"372","2/1/18 5:00",10,7,3,"clear-night",32,""
"373","10/11/17 17:00",1713,820,893,"partly-cloudy-day",70,""
"374","1/19/18 14:00",1004,478,526,"clear-day",36,""
"375","10/17/17 5:00",10,6,4,"clear-night",42,""
"376","12/7/17 20:00",266,182,84,"clear-night",39,""
"377","10/3/17 4:00",8,3,5,"clear-night",51,""
"378","11/13/17 23:00",53,28,25,"clear-night",35,""
"379","11/28/17 17:00",787,394,393,"clear-night",53,""
"380","10/31/17 4:00",2,1,1,"clear-night",49,"Halloween"
"381","11/23/17 15:00",2298,1168,1130,"clear-day",43,"Thanksgiving Day"
"382","10/1/17 14:00",2463,1339,1124,"clear-day",65,""
"383","12/11/17 5:00",14,8,6,"partly-cloudy-night",34,""
"384","1/17/18 11:00",181,109,72,"partly-cloudy-day",33,""
"385","1/6/18 0:00",5,2,3,"clear-night",9,""
"386","1/30/18 12:00",524,222,302,"partly-cloudy-day",34,""
"387","2/4/18 5:00",1,0,1,"partly-cloudy-night",30,""
"388","10/24/17 18:00",1396,820,576,"partly-cloudy-night",68,""
"389","12/14/17 16:00",883,414,469,"clear-day",29,""
"390","11/29/17 14:00",1211,561,650,"clear-day",63,""
"391","1/22/18 23:00",24,19,5,"fog",39,""
"392","1/26/18 6:00",55,33,22,"clear-night",25,""
"393","12/22/17 17:00",970,480,490,"partly-cloudy-night",45,""
"394","12/24/17 23:00",22,9,13,"cloudy",36,"Christmas Eve"
"395","10/8/17 16:00",2531,1224,1307,"partly-cloudy-day",76,""
"396","1/21/18 10:00",656,391,265,"clear-day",44,""
"397","12/13/17 8:00",146,45,101,"clear-day",21,""
"398","12/9/17 4:00",9,4,5,"partly-cloudy-night",34,""
"399","11/24/17 2:00",8,7,1,"clear-night",32,"Black Friday"
"400","1/20/18 3:00",6,3,3,"clear-night",34,""
"401","10/30/17 23:00",47,22,25,"clear-night",50,""
"402","1/6/18 11:00",609,348,261,"clear-day",11,""
"403","11/2/17 17:00",2334,1338,996,"clear-day",69,""
"404","2/4/18 22:00",6,4,2,"rain",40,""
"405","1/3/18 13:00",1995,958,1037,"clear-day",26,""
"406","1/23/18 19:00",283,207,76,"partly-cloudy-night",50,""
"407","10/16/17 12:00",1667,880,787,"clear-day",56,""
"408","10/22/17 0:00",147,85,62,"clear-night",58,""
"409","12/17/17 23:00",48,19,29,"partly-cloudy-night",34,""
"410","10/5/17 14:00",1812,908,904,"partly-cloudy-day",80,""
"411","1/21/18 20:00",277,178,99,"partly-cloudy-night",43,""
"412","12/19/17 11:00",1257,603,654,"partly-cloudy-day",52,""
"413","1/13/18 5:00",6,4,2,"cloudy",51,""
"414","11/25/17 10:00",1516,886,630,"clear-day",47,""
"415","1/10/18 20:00",110,63,47,"partly-cloudy-night",37,""
"416","12/17/17 12:00",1441,674,767,"cloudy",35,""
"417","11/22/17 16:00",1516,692,824,"partly-cloudy-day",46,""
"418","1/1/18 9:00",174,107,67,"clear-day",8,"New Year's Day"
"419","10/25/17 11:00",1987,982,1005,"partly-cloudy-day",60,""
"420","11/25/17 3:00",16,6,10,"clear-night",37,""
"421","10/26/17 19:00",357,179,178,"clear-night",55,""
"422","11/4/17 22:00",210,98,112,"clear-night",52,""
"423","12/2/17 23:00",199,142,57,"clear-night",40,""
"424","1/3/18 18:00",661,340,321,"partly-cloudy-night",25,""
"425","11/8/17 5:00",28,17,11,"partly-cloudy-night",39,""
"426","10/30/17 6:00",18,10,8,"rain",51,""
"427","11/1/17 7:00",210,111,99,"clear-night",45,""
"428","11/3/17 10:00",1165,684,481,"clear-day",64,""
"429","10/6/17 5:00",16,11,5,"partly-cloudy-night",67,""
"430","10/15/17 8:00",399,205,194,"partly-cloudy-day",65,""
"431","1/20/18 18:00",608,307,301,"clear-night",46,""
"432","12/16/17 2:00",0,0,0,"clear-night",21,""
